"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jul 28 06:09:48 UTC 2023","Fri Jul 28 06:09:48 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"failed","Fri Jul 28 05:53:28 UTC 2023","Fri Jul 28 05:56:09 UTC 2023","160543","","9. Client Portal - Home","","","","1. Check links",""
"broken","Fri Jul 28 06:09:48 UTC 2023","Fri Jul 28 06:09:48 UTC 2023","3","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"skipped","Fri Jul 28 06:09:48 UTC 2023","Fri Jul 28 06:09:48 UTC 2023","1","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"failed","Fri Jul 28 06:38:48 UTC 2023","Fri Jul 28 06:41:38 UTC 2023","169692","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"skipped","Fri Jul 28 06:09:48 UTC 2023","Fri Jul 28 06:09:48 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"skipped","Fri Jul 28 06:09:48 UTC 2023","Fri Jul 28 06:09:48 UTC 2023","1","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"skipped","Fri Jul 28 06:09:48 UTC 2023","Fri Jul 28 06:09:48 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Fri Jul 28 05:43:45 UTC 2023","Fri Jul 28 05:44:22 UTC 2023","37062","","8. Sign Up new user","","","","1. Create a new user",""
"failed","Fri Jul 28 06:23:03 UTC 2023","Fri Jul 28 06:25:52 UTC 2023","168735","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"broken","Fri Jul 28 06:25:52 UTC 2023","Fri Jul 28 06:25:52 UTC 2023","283","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"broken","Fri Jul 28 06:41:38 UTC 2023","Fri Jul 28 06:41:38 UTC 2023","261","","12. Client Portal - Forms","","","","2. Check Form Page",""
"skipped","Fri Jul 28 06:09:48 UTC 2023","Fri Jul 28 06:09:48 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"skipped","Fri Jul 28 06:25:52 UTC 2023","Fri Jul 28 06:25:52 UTC 2023","0","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"skipped","Fri Jul 28 06:25:52 UTC 2023","Fri Jul 28 06:25:52 UTC 2023","1","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"skipped","Fri Jul 28 06:41:38 UTC 2023","Fri Jul 28 06:41:38 UTC 2023","0","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"skipped","Fri Jul 28 06:41:38 UTC 2023","Fri Jul 28 06:41:38 UTC 2023","0","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"skipped","Fri Jul 28 06:09:48 UTC 2023","Fri Jul 28 06:09:48 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
